trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.995}",20,0,-159.30178180601084,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.99}",30,0,-169.3567045794809,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.985}",20,0,-178.20110497602784,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.98}",25,0,-102.91200634268868,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.975}",20,0,-47.70753113224214,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.97}",20,0,-67.12312219930372,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.965}",20,0,-147.2466422403179,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.96}",30,0,-128.43478195626517,"{0: 18, 1: 0, 2: 11, 3: 0, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.955}",30,0,-137.9906175862824,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.95}",20,0,-73.87707209708923,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.945}",30,0,-172.48023167649066,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.1, 'e': 0.94}",25,0,-192.88308200292542,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
13,False,"{'a': 0.1, 'e': 0.9349999999999999}",20,0,-128.83048767491292,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
14,False,"{'a': 0.1, 'e': 0.9299999999999999}",20,0,-202.62879892749615,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 4}",0
15,False,"{'a': 0.1, 'e': 0.9249999999999999}",25,0,-159.29315663053558,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.9199999999999999}",20,0,-143.29652927049392,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.9149999999999999}",20,0,-140.64520961882707,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.1, 'e': 0.9099999999999999}",25,0,-84.57660001429217,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.9049999999999999}",25,0,-114.04838038481742,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",1
20,False,"{'a': 0.1, 'e': 0.8999999999999999}",20,0,-138.66626378560147,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
21,False,"{'a': 0.1, 'e': 0.8949999999999999}",25,0,-40.9189955463113,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.1, 'e': 0.8899999999999999}",25,2,-104.73998508043387,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 1}",1
23,False,"{'a': 0.1, 'e': 0.8849999999999999}",25,0,-73.50209416991216,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.1, 'e': 0.8799999999999999}",30,0,-142.43495882148028,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
25,False,"{'a': 0.1, 'e': 0.8749999999999999}",20,0,-90.44713883699401,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.1, 'e': 0.8699999999999999}",20,5,-13.098017862896587,"{0: 10, 1: 4, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.1, 'e': 0.8649999999999999}",20,0,-51.89838011693516,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.1, 'e': 0.8599999999999999}",20,0,-80.06043813404132,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.1, 'e': 0.8549999999999999}",30,0,-130.3435705799714,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
30,False,"{'a': 0.1, 'e': 0.8499999999999999}",20,0,-87.36942643713007,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.1, 'e': 0.8449999999999999}",25,5,-78.81608078556688,"{0: 11, 1: 4, 2: 2, 3: 3, 4: 0}",1
32,False,"{'a': 0.1, 'e': 0.8399999999999999}",20,0,-82.13873652410213,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
33,False,"{'a': 0.1, 'e': 0.8349999999999999}",20,0,-148.37754842791594,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
34,False,"{'a': 0.1, 'e': 0.8299999999999998}",20,0,-82.83350510806356,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.1, 'e': 0.8249999999999998}",25,0,-82.86749402474649,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
36,False,"{'a': 0.1, 'e': 0.8199999999999998}",25,0,-192.7549177826717,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
37,False,"{'a': 0.1, 'e': 0.8149999999999998}",30,0,-164.50944860939836,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
38,False,"{'a': 0.1, 'e': 0.8099999999999998}",30,0,-54.40024152925183,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.1, 'e': 0.8049999999999998}",25,0,-163.20328789585932,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
40,False,"{'a': 0.1, 'e': 0.7999999999999998}",25,0,-83.5271499850662,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
41,False,"{'a': 0.1, 'e': 0.7949999999999998}",30,0,-131.45038938892895,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
42,False,"{'a': 0.1, 'e': 0.7899999999999998}",20,0,-149.80765825031517,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
43,False,"{'a': 0.1, 'e': 0.7849999999999998}",30,0,-85.6167161613617,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
44,False,"{'a': 0.1, 'e': 0.7799999999999998}",25,0,-26.18889609596014,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
45,False,"{'a': 0.1, 'e': 0.7749999999999998}",25,0,-171.27951878531462,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
46,False,"{'a': 0.1, 'e': 0.7699999999999998}",20,0,9.438344408331837,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.1, 'e': 0.7649999999999998}",20,0,2.5411990425319058,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.1, 'e': 0.7599999999999998}",20,0,-42.53202200093946,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
49,False,"{'a': 0.1, 'e': 0.7549999999999998}",35,0,-140.41781611827426,"{0: 25, 1: 0, 2: 7, 3: 1, 4: 2}",0
50,False,"{'a': 0.1, 'e': 0.7499999999999998}",20,0,-75.809329621918,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.1, 'e': 0.7449999999999998}",25,0,-140.39701232361568,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
52,False,"{'a': 0.1, 'e': 0.7399999999999998}",25,13,-41.93423987252132,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
53,False,"{'a': 0.1, 'e': 0.7349999999999998}",20,0,-56.43488721394028,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
54,False,"{'a': 0.1, 'e': 0.7299999999999998}",25,0,-178.8112251592934,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
55,False,"{'a': 0.1, 'e': 0.7249999999999998}",20,0,-47.15480464433846,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
56,False,"{'a': 0.1, 'e': 0.7199999999999998}",25,0,-18.864734386769765,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
57,False,"{'a': 0.1, 'e': 0.7149999999999997}",20,0,-18.43877534280349,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.1, 'e': 0.7099999999999997}",30,0,-12.979804988612381,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.1, 'e': 0.7049999999999997}",20,0,-1.4274590155180196,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.1, 'e': 0.6999999999999997}",25,0,8.270579951221064,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.1, 'e': 0.6949999999999997}",20,3,1.774605914497314,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.1, 'e': 0.6899999999999997}",20,0,-39.55410037696709,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
63,False,"{'a': 0.1, 'e': 0.6849999999999997}",30,19,1.1700048854761724,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
64,False,"{'a': 0.1, 'e': 0.6799999999999997}",20,0,-108.20204513603497,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
65,False,"{'a': 0.1, 'e': 0.6749999999999997}",20,0,-112.70984673564364,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
