trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.55308503633773,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.38236583365774,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,8,-47.56798425008675,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.28359796507657,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.254926504054524,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.76283230443109,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.53290460096358,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.02463192528464,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.86694501236298,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.07510184679396,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.6006663041453,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.37648235974862,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.57362060551817,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-116.32719265514862,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.90263688955952,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.90684075148911,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.81183330091085,"{0: 12, 1: 5, 2: 3, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.1295043225154,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,3,-127.63937896146632,"{0: 8, 1: 4, 2: 2, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.33535931110612,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,4,-121.10570225365035,"{0: 7, 1: 0, 2: 7, 3: 1, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.43180623527665,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-170.0573390395561,"{0: 11, 1: 4, 2: 0, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-159.37092284170365,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.63098778646047,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-177.60699573007753,"{0: 20, 1: 3, 2: 9, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.05164879958409,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.37083721530131,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-228.75173925277562,"{0: 14, 1: 7, 2: 3, 3: 3, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-139.04614780725953,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
